Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
114,PMR 5.1,446.056250,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
115,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
116,PMR 6.1,446.068750,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
117,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
118,PMR 7.1,446.081250,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
119,PMR 7.7,446.081250,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
120,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
121,PMR 8.1,446.093750,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
124,SOS UA,463.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
125,P-ROUG1,465.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
126,P-ROUG2,465.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
